;KW;PK_KW
132;agricultural big data;9250256
131;algorithms and programming techniques for big data processing;9271613
134;big data;887
133;big data;5324
126;big data;1039151
127;big data;1039152
128;big data;1218079
129;big data;1218337
130;big data;9631651
122;big data analysis;1218080
123;big data analysis;1218102
124;big data analysis;1218340
125;big data analysis;9631652
121;big data analysis electoral prediction;9631653
120;big data analysis for security;9631654
116;big data analytics;1218081
117;big data analytics;1218103
118;big data analytics;1218341
119;big data analytics;9631655
115;big data analytics framework;9631656
112;big data applications;1218082
113;big data applications;1218342
114;big data applications;9631657
111;big data applications and infrastructure;1218083
110;big data architecture;9631658
109;big data architecture framework (bdaf);1218084
108;big data biology;1218343
107;big data center;1218085
106;big data centers;9631659
105;big data classification;1218344
104;big data collection;1218086
103;big data components;1218345
102;big data computing;9631660
101;big data definition;1218346
100;big data driven optimization;9631661
99;big data ecosystem;1218087
98;big data education;1218338
97;big data environment;9631662
96;big data filtering;1218347
95;big data for advertising;1218104
94;big data for development;1218348
93;big data for health;1218105
92;big data fusion;9631663
90;big data handling;1218088
91;big data handling;9631664
89;big data hubris;1218349
88;big data industry standards;1218089
87;big data infrastructure;1218090
86;big data infrastructure (bdi);1218091
85;big data lifecycle management (bdlm);1218092
83;big data management;1218093
84;big data management;9631665
82;big data management and processing;9631666
81;big data manipulation;1218350
77;big data mining;1218094
78;big data mining;1218106
79;big data mining;1218351
80;big data mining;9631667
76;big data models and algorithms;1218352
75;big data network architecture;9631668
74;big data open platform;1218095
73;big data paradigm shifts;9631669
72;big data pattern;1218107
71;big data policy;1218353
70;big data problem;1218096
68;big data processing;1218354
69;big data processing;9631670
67;big data query;9631671
66;big data reduction;9631672
64;big data representing and organizing;1218355
65;big data representing and organizing;9631673
63;big data scheduling;1218108
62;big data science;1218097
61;big data search and mining;1218356
57;big data security;1218109
58;big data security;1218339
59;big data security;1218357
60;big data security;9631674
56;big data sharing;1218098
55;big data simulation;1218358
54;big data statistics;9631675
52;big data storage;1218099
53;big data storage;1218359
51;big data strategy;9631676
50;big data stream computing (bdsc);1218360
48;big data technology;1218100
49;big data technology;1218361
47;big data traffic;1218362
46;big data traffic qos;9631677
45;big data value;9631678
42;big data visualization;1218101
43;big data visualization;1218110
44;big data visualization;1218363
41;big data-analysis;1039153
40;big data-as-a-service;1218111
39;big data-front networking;9631679
38;big dataanalytics;9631680
37;biomedical big data;1237808
36;clinical big data analysis;1969280
35;cloud based big data infrastructure services;1976342
34;critical big data;10272029
33;data architecture patterns for big data;2446153
32;data mining and big data;2448367
31;data warehousing and olap over big data;2447248
30;electrophsyiological big data;2893234
29;emergence big data;2903192
28;event-based mining in large geophysical datasets (big data);10871071
27;genomic big data;11255249
26;geospatial big data;11267649
25;geospatial big data management;11267650
24;healthcare big data;3900538
23;inconsistencies in big data;11678410
22;industrial big data;11700931
21;information retrieval for big data;11721062
20;large/big data;11977335
19;medical big data;5322810
18;mega and big data;5328474
17;online big data processing and evolution;12904798
16;parallel big data systems;13057705
15;power big data;6761053
14;real-time streaming analysis of big data;7169516
12;scientific big data;7779078
13;scientific big data;7779435
11;social big data;7940198
10;solutions for big data and big data analytics;7968978
8;spatial big data;7989419
9;spatial big data;14253754
7;spatial big data mining;7989420
6;stream big data;14404367
5;streaming big data;8075969
4;surveillance big data;8140172
3;technologies of big data;8425916
2;video big data;15059247
1;virtex-5 and big data applications;8871929
0;water resources big data;15118797
